UTC: 2026-09-21T15:48:33.891967+00:00
Base commit (working tree may contain pending changes): 3ee3e0db6e114e150f44730700bbd2b9a5305d8a
Command: python3 scripts/smoke_stream.py
Exit code: 0

curl -N POST http://127.0.0.1:8001/api/chat/stream
0.061s message_start seq=1
0.076s tool_call_start seq=2
0.078s tool_call_start seq=3
0.080s tool_call_start seq=4
0.083s tool_call_result seq=5
0.083s tool_call_result seq=6
0.083s tool_call_result seq=7
0.085s sources seq=8
0.085s text_delta seq=9
0.098s text_delta seq=10
0.109s text_delta seq=11
0.121s text_delta seq=12
0.133s text_delta seq=13
0.146s text_delta seq=14
0.157s text_delta seq=15
0.170s text_delta seq=16
0.182s done seq=17
PASS incremental template stream: 8 text chunks over 0.084s; curl exit 0
curl -N POST http://127.0.0.1:5173/api/chat/stream
0.018s message_start seq=1
0.026s tool_call_start seq=2
0.027s tool_call_start seq=3
0.028s tool_call_start seq=4
0.031s tool_call_result seq=5
0.031s tool_call_result seq=6
0.031s tool_call_result seq=7
0.032s sources seq=8
0.032s text_delta seq=9
0.044s text_delta seq=10
0.056s text_delta seq=11
0.069s text_delta seq=12
0.080s text_delta seq=13
0.093s text_delta seq=14
0.105s text_delta seq=15
0.116s text_delta seq=16
0.128s done seq=17
PASS incremental template stream: 8 text chunks over 0.084s; curl exit 0
