UTC: 2026-09-21T16:47:59.403753+00:00
Base commit (working tree may contain pending changes): 26bdb9b801787e4f50ad4aa5c036ff84c6c425e9
Command: python3 scripts/smoke_stream.py
Exit code: 0

curl -N POST http://127.0.0.1:8001/api/chat/stream
0.061s message_start seq=1
0.071s tool_call_start seq=2
0.073s tool_call_start seq=3
0.074s tool_call_start seq=4
0.077s tool_call_result seq=5
0.077s tool_call_result seq=6
0.077s tool_call_result seq=7
0.080s sources seq=8
0.080s text_delta seq=9
0.130s text_delta seq=10
0.182s text_delta seq=11
0.233s text_delta seq=12
0.284s text_delta seq=13
0.339s text_delta seq=14
0.390s text_delta seq=15
0.445s text_delta seq=16
0.496s text_delta seq=17
0.550s text_delta seq=18
0.601s text_delta seq=19
0.657s text_delta seq=20
0.710s text_delta seq=21
0.761s text_delta seq=22
0.811s text_delta seq=23
0.862s text_delta seq=24
0.915s done seq=25
PASS incremental template stream: 16 text chunks over 0.782s; curl exit 0
curl -N POST http://127.0.0.1:5173/api/chat/stream
0.013s message_start seq=1
0.021s tool_call_start seq=2
0.022s tool_call_start seq=3
0.023s tool_call_start seq=4
0.025s tool_call_result seq=5
0.025s tool_call_result seq=6
0.025s tool_call_result seq=7
0.027s sources seq=8
0.027s text_delta seq=9
0.116s text_delta seq=10
0.135s text_delta seq=11
0.186s text_delta seq=12
0.237s text_delta seq=13
0.292s text_delta seq=14
0.343s text_delta seq=15
0.397s text_delta seq=16
0.448s text_delta seq=17
0.502s text_delta seq=18
0.555s text_delta seq=19
0.606s text_delta seq=20
0.659s text_delta seq=21
0.710s text_delta seq=22
0.760s text_delta seq=23
0.811s text_delta seq=24
0.861s done seq=25
PASS incremental template stream: 16 text chunks over 0.784s; curl exit 0
