UTC: 2026-09-21T17:34:37.974289+00:00
Base commit (working tree may contain pending changes): e84b2a6749b99c3af935a4a42174bad71eac7248
Command: python3 scripts/smoke_stream.py
Exit code: 0

curl -N POST http://127.0.0.1:8001/api/chat/stream
0.069s message_start seq=1
0.082s tool_call_start seq=2
0.085s tool_call_start seq=3
0.086s tool_call_start seq=4
0.089s tool_call_result seq=5
0.089s tool_call_result seq=6
0.089s tool_call_result seq=7
0.092s sources seq=8
0.092s text_delta seq=9
0.143s text_delta seq=10
0.193s text_delta seq=11
0.244s text_delta seq=12
0.294s text_delta seq=13
0.345s text_delta seq=14
0.395s text_delta seq=15
0.446s text_delta seq=16
0.496s text_delta seq=17
0.548s text_delta seq=18
0.598s text_delta seq=19
0.651s text_delta seq=20
0.706s text_delta seq=21
0.761s text_delta seq=22
0.814s text_delta seq=23
0.871s text_delta seq=24
0.921s done seq=25
PASS incremental template stream: 16 text chunks over 0.779s; curl exit 0
curl -N POST http://127.0.0.1:5173/api/chat/stream
0.015s message_start seq=1
0.025s tool_call_start seq=2
0.027s tool_call_start seq=3
0.030s tool_call_start seq=4
0.033s tool_call_result seq=5
0.033s tool_call_result seq=6
0.033s tool_call_result seq=7
0.039s sources seq=8
0.039s text_delta seq=9
0.090s text_delta seq=10
0.143s text_delta seq=11
0.194s text_delta seq=12
0.244s text_delta seq=13
0.295s text_delta seq=14
0.348s text_delta seq=15
0.399s text_delta seq=16
0.449s text_delta seq=17
0.500s text_delta seq=18
0.551s text_delta seq=19
0.602s text_delta seq=20
0.653s text_delta seq=21
0.704s text_delta seq=22
0.755s text_delta seq=23
0.805s text_delta seq=24
0.860s done seq=25
PASS incremental template stream: 16 text chunks over 0.766s; curl exit 0
