UTC: 2026-09-21T19:55:28.361647+00:00
Base commit (working tree may contain pending changes): dcee13d25eb32dad9265c2f914c067218a36cb05
Command: python3 scripts/smoke_stream.py
Exit code: 0

curl -N POST http://127.0.0.1:8001/api/chat/stream
0.026s message_start seq=1
0.048s tool_call_start seq=2
0.052s tool_call_start seq=3
0.053s tool_call_start seq=4
0.055s tool_call_result seq=5
0.055s tool_call_result seq=6
0.055s tool_call_result seq=7
0.059s sources seq=8
0.059s text_delta seq=9
0.110s text_delta seq=10
0.165s text_delta seq=11
0.218s text_delta seq=12
0.274s text_delta seq=13
0.326s text_delta seq=14
0.382s text_delta seq=15
0.436s text_delta seq=16
0.488s text_delta seq=17
0.544s text_delta seq=18
0.595s text_delta seq=19
0.646s text_delta seq=20
0.698s text_delta seq=21
0.753s text_delta seq=22
0.805s text_delta seq=23
0.860s text_delta seq=24
0.913s done seq=25
PASS incremental template stream: 16 text chunks over 0.801s; curl exit 0
curl -N POST http://127.0.0.1:5173/api/chat/stream
0.022s message_start seq=1
0.031s tool_call_start seq=2
0.031s tool_call_start seq=3
0.032s tool_call_start seq=4
0.034s tool_call_result seq=5
0.034s tool_call_result seq=6
0.034s tool_call_result seq=7
0.036s sources seq=8
0.036s text_delta seq=9
0.089s text_delta seq=10
0.144s text_delta seq=11
0.196s text_delta seq=12
0.248s text_delta seq=13
0.301s text_delta seq=14
0.352s text_delta seq=15
0.405s text_delta seq=16
0.459s text_delta seq=17
0.514s text_delta seq=18
0.566s text_delta seq=19
0.622s text_delta seq=20
0.678s text_delta seq=21
0.731s text_delta seq=22
0.788s text_delta seq=23
0.844s text_delta seq=24
0.902s done seq=25
PASS incremental template stream: 16 text chunks over 0.808s; curl exit 0
