UTC: 2026-09-22T13:59:00.079893+00:00
Base commit (working tree may contain pending changes): 902894acc073d3e8a7cc61244a98c799070d6e41
Command: python3 scripts/smoke_stream.py
Exit code: 0

curl -N POST http://127.0.0.1:8001/api/chat/stream
0.066s message_start seq=1
0.083s tool_call_start seq=2
0.086s tool_call_start seq=3
0.087s tool_call_start seq=4
0.089s tool_call_result seq=5
0.089s tool_call_result seq=6
0.089s tool_call_result seq=7
0.092s sources seq=8
0.092s text_delta seq=9
0.152s text_delta seq=10
0.212s text_delta seq=11
0.273s text_delta seq=12
0.336s text_delta seq=13
0.387s text_delta seq=14
0.442s text_delta seq=15
0.496s text_delta seq=16
0.548s text_delta seq=17
0.603s text_delta seq=18
0.658s text_delta seq=19
0.708s text_delta seq=20
0.759s text_delta seq=21
0.809s text_delta seq=22
0.868s text_delta seq=23
0.919s text_delta seq=24
0.981s done seq=25
PASS incremental template stream: 16 text chunks over 0.827s; curl exit 0
curl -N POST http://127.0.0.1:5173/api/chat/stream
0.022s message_start seq=1
0.035s tool_call_start seq=2
0.036s tool_call_start seq=3
0.037s tool_call_start seq=4
0.040s tool_call_result seq=5
0.040s tool_call_result seq=6
0.040s tool_call_result seq=7
0.042s sources seq=8
0.042s text_delta seq=9
0.096s text_delta seq=10
0.155s text_delta seq=11
0.208s text_delta seq=12
0.270s text_delta seq=13
0.320s text_delta seq=14
0.370s text_delta seq=15
0.423s text_delta seq=16
0.483s text_delta seq=17
0.539s text_delta seq=18
0.594s text_delta seq=19
0.651s text_delta seq=20
0.704s text_delta seq=21
0.757s text_delta seq=22
0.815s text_delta seq=23
0.874s text_delta seq=24
0.934s done seq=25
PASS incremental template stream: 16 text chunks over 0.832s; curl exit 0
